Estado;Municipio;Parroquia
Aragua;Bolívar;Bolívar
Aragua;Camatagua;Camatagua
Aragua;Camatagua;Carmen de Cura, (es una tribu)
Aragua;Francisco Linares Alcántara;Santa Rita
Aragua;Francisco Linares Alcántara;Francisco de Miranda
Aragua;Francisco Linares Alcántara;Moseñor Feliciano González
Aragua;Girardot;Pedro José Ovalles
Aragua;Girardot;Joaquín Crespo
Aragua;Girardot;José Casanova Godoy
Aragua;Girardot;Madre María de San José
Aragua;Girardot;Andrés Eloy Blanco
Aragua;Girardot;Los Tacarigua
Aragua;Girardot;Las Delicias
Aragua;Girardot;Choroní
Aragua;José Ángel Lamas;Santa Cruz
Aragua;José Félix Ribas;José Félix Ribas
Aragua;José Félix Ribas;Castor Nieves Ríos
Aragua;José Félix Ribas;Las Guacamayas
Aragua;José Félix Ribas;Pao de Zárate
Aragua;José Félix Ribas;Zuata
Aragua;José Rafael Revenga;José Rafael Revenga
Aragua;José Rafael Revenga;El Consejo
Aragua;Libertador;Palo Negro
Aragua;Libertador;San Martín de Porres
Aragua;Mario Briceño Iragorry;El Limón
Aragua;Mario Briceño Iragorry;Caña de Azúcar
Aragua;Ocumare de la Costa de Oro;Ocumare de la Costa
Aragua;San Casimiro;San Casimiro
Aragua;San Sebastián;San Sebastían
Aragua;Santiago Mariño;Turmero
Aragua;Santiago Mariño;Arévalo Aponte
Aragua;Santiago Mariño;Chuao
Aragua;Santiago Mariño;Samán de Güere
Aragua;Santiago Mariño;Alfredo Pacheco Miranda
Aragua;Santos Michelena;Santos Michelena
Aragua;Santos Michelena;Tiara
Aragua;Sucre;Cagua
Aragua;Sucre;Bella Vista
Aragua;Tovar;Tovar
Aragua;Urdaneta;Urdaneta
Aragua;Urdaneta;Las Peñitas
Aragua;Urdaneta;San Francisco de Cara
Aragua;Urdaneta;Taguay
Aragua;Zamora;Villa de Cura
Aragua;Zamora;Magdaleno
Aragua;Zamora;San Francisco de Asís
Aragua;Zamora;Valles de Tucutunemo
Aragua;Zamora;Augusto Mijares
Barinas;Alberto Arvelo Torrealba;Sabaneta
Barinas;Alberto Arvelo Torrealba;Juan Antonio Rodríguez Domínguez
Barinas;Andrés Eloy Blanco;El Cantón
Barinas;Andrés Eloy Blanco;Santa Cruz de Guacas
Barinas;Andrés Eloy Blanco;Puerto Vivas
Barinas;Antonio José de Sucre;Socopo
Barinas;Antonio José de Sucre;Nicolás Pulido
Barinas;Antonio José de Sucre;Andrés Bello
Barinas;Arismendi;Arismendi
Barinas;Arismendi;Guadarrama
Barinas;Arismendi;La Unión
Barinas;Arismendi;San Antonio
Barinas;Barinas;Barinas
Barinas;Bolívar;Barinitas
Barinas;Cruz Paredes;Barrancas
Barinas;Cruz Paredes;El Socorro
Barinas;Cruz Paredes;Mazparrito
Barinas;Ezequiel Zamora;Santa Bárbara
Barinas;Ezequiel Zamora;Pedro Briceño Méndez
Barinas;Ezequiel Zamora;Ramón Ignacio Méndez
Barinas;Ezequiel Zamora;José Ignacio del Pumar
Barinas;Obispos;Obispos
Barinas;Pedraza;Ciudad Bolivia
Barinas;Rojas;Libertad
Barinas;Rojas;Dolores
Barinas;Rojas;Santa Rosa
Barinas;Rojas;Palacio Fajardo
Barinas;Rojas;Simón Rodríguez
Barinas;Sosa;Ciudad de Nutrias
Barinas;Sosa;El Regalo
Barinas;Sosa;Puerto Nutrias
Barinas;Sosa;Santa Catalina
Barinas;Sosa;Simón Bolívar
Bolívar;Caroní;Cachamay
Bolívar;Caroní;Chirica
Bolívar;Caroní;Dalla Costa
Bolívar;Caroní;Once de Abril
Bolívar;Caroní;Simón Bolívar
Bolívar;Caroní;Unare
Bolívar;Caroní;Universidad
Bolívar;Caroní;Vista al Sol
Bolívar;Caroní;Pozo Verde
Bolívar;Caroní;Yocoima
Bolívar;Caroní;5 de Julio
Bolívar;Caroní;Pto. Ordaz
Bolívar;Cedeño;Cedeño
Bolívar;Cedeño;Altagracia
Bolívar;Cedeño;Ascensión Farreras
Bolívar;Cedeño;Guaniamo
Bolívar;Cedeño;La Urbana
Bolívar;Cedeño;Pijiguaos
Bolívar;El Callao;El Callao
Bolívar;Gran Sabana;Gran Sabana
Bolívar;Gran Sabana;IkabaRú
Bolívar;Heres;Catedral
Bolívar;Heres;Zea
Bolívar;Heres;Orinoco
Bolívar;Heres;José Antonio Páez
Bolívar;Heres;Marhuanta
Bolívar;Heres;Agua Salada
Bolívar;Heres;Vista Hermosa
Bolívar;Heres;La Sabanita
Bolívar;Heres;Panapana
Bolívar;Padre Pedro Chien;Padre Pedro Chien
Bolívar;Piar;Andrés Eloy Blanco
Bolívar;Piar;Pedro Cova
Bolívar;Piar;Upata
Bolívar;Angostura (Raúl Leoni);Raúl Leoni
Bolívar;Angostura (Raúl Leoni);Barceloneta
Bolívar;Angostura (Raúl Leoni);Santa Bárbara
Bolívar;Angostura (Raúl Leoni);San Francisco
Bolívar;Roscio;Roscio
Bolívar;Roscio;Salóm
Bolívar;Sifontes;Tumeremo
Bolívar;Sifontes;Dalla Costa
Bolívar;Sifontes;San Isidro
Bolívar;Sucre;Sucre
Bolívar;Sucre;Aripao
Bolívar;Sucre;Guarataro
Bolívar;Sucre;Las Majadas
Bolívar;Sucre;Moitaco
Carabobo;Bejuma;Canoabo
Carabobo;Bejuma;Simon Bolivar
Carabobo;Carlos Arvelo;Güigüe
Carabobo;Carlos Arvelo;Belén
Carabobo;Carlos Arvelo;Tacarigua
Carabobo;Diego Ibarra;Mariara
Carabobo;Diego Ibarra;Aguas Calientes
Carabobo;Guacara;Ciudad Alianza
Carabobo;Guacara;Guacara
Carabobo;Guacara;Yagua
Carabobo;Juan José Mora;Morón
Carabobo;Juan José Mora;Urama
Carabobo;Libertador;Tocuyito Valencia
Carabobo;Libertador;Independencia Campo Carabobo
Carabobo;Los Guayos;Los Guayos Valencia
Carabobo;Miranda;Miranda
Carabobo;Montalbán;Montalbán
Carabobo;Naguanagua;Urbana Naguanagua Valencia
Carabobo;Puerto Cabello;Bartolomé Salóm
Carabobo;Puerto Cabello;Democracia
Carabobo;Puerto Cabello;Fraternidad
Carabobo;Puerto Cabello;Goaigoaza
Carabobo;Puerto Cabello;Juan José Flores
Carabobo;Puerto Cabello;Unión
Carabobo;Puerto Cabello;Borburata
Carabobo;Puerto Cabello;Patanemo
Carabobo;San Diego;San Diego Valencia
Carabobo;San Joaquín;San Joaquín
Carabobo;Valencia;Urbana Candelaria
Carabobo;Valencia;Urbana Catedral
Carabobo;Valencia;Urbana El Socorro
Carabobo;Valencia;Urbana Miguel Peña
Carabobo;Valencia;Urbana Rafael Urdaneta
Carabobo;Valencia;Urbana San Blas
Carabobo;Valencia;Urbana San José
Carabobo;Valencia;Urbana Santa Rosa
Carabobo;Valencia;No Urbana Negro Primero
Cojedes;Anzoátegui;Cojedes
Cojedes;Anzoátegui;Juan de Mata Suárez
Cojedes;Pao de San Juan Bautista;El Pao
Cojedes;Tinaquillo;Tinaquillo
Cojedes;Girardot;El Baúl
Cojedes;Girardot;Sucre
Cojedes;Lima Blanco;La Aguadita
Cojedes;Lima Blanco;Macapo
Cojedes;Ricaurte;El Amparo
Cojedes;Ricaurte;Libertad de Cojedes
Cojedes;Rómulo Gallegos;Rómulo Gallegos
Cojedes;Ezequiel Zamora (Cojedes);San Carlos de Austria
Cojedes;Ezequiel Zamora (Cojedes);Juan Ángel Bravo
Cojedes;Ezequiel Zamora (Cojedes);Manuel Manrique
Cojedes;Tinaco;General en Jefe José Laurencio Silva
Delta Amacuro;Antonio Díaz;Curiapo
Delta Amacuro;Antonio Díaz;Almirante Luis Brión
Delta Amacuro;Antonio Díaz;Francisco Aniceto Lugo
Delta Amacuro;Antonio Díaz;Manuel Renaud
Delta Amacuro;Antonio Díaz;Padre Barral
Delta Amacuro;Antonio Díaz;Santos de Abelgas
Delta Amacuro;Casacoima;Imataca
Delta Amacuro;Casacoima;Juan Bautista Arismendi
Delta Amacuro;Casacoima;Manuel Piar
Delta Amacuro;Casacoima;Rómulo Gallegos
Delta Amacuro;Pedernales;Pedernales
Delta Amacuro;Pedernales;Luis Beltrán Prieto Figueroa
Delta Amacuro;Tucupita;San José
Delta Amacuro;Tucupita;José Vidal Marcano
Delta Amacuro;Tucupita;Leonardo Ruíz Pineda
Delta Amacuro;Tucupita;Mariscal Antonio José de Sucre
Delta Amacuro;Tucupita;Monseñor Argimiro García
Delta Amacuro;Tucupita;Virgen del Valle
Delta Amacuro;Tucupita;San Rafael
Delta Amacuro;Tucupita;Juan Millan
Falcón;Acosta;Capadare
Falcón;Acosta;La Pastora
Falcón;Acosta;Libertador
Falcón;Acosta;San Juan de los Cayos
Falcón;Bolívar;Aracua
Falcón;Bolívar;La Peña
Falcón;Bolívar;San Luis
Falcón;Buchivacoa;Bariro
Falcón;Buchivacoa;Borojó
Falcón;Buchivacoa;Capatárida
Falcón;Buchivacoa;Guajiro
Falcón;Buchivacoa;Seque
Falcón;Buchivacoa;Valle de Eroa
Falcón;Buchivacoa;Zazárida
Falcón;Cacique Manaure;Cacique Manaure
Falcón;Carirubana;Norte
Falcón;Carirubana;Carirubana
Falcón;Carirubana;Santa Ana
Falcón;Carirubana;Urbana Punta Cardón
Falcón;Colina;La Vela de Coro
Falcón;Colina;Acurigua
Falcón;Colina;Guaibacoa
Falcón;Colina;Las Calderas
Falcón;Colina;Mataruca
Falcón;Dabajuro;Dabajuro
Falcón;Democracia;Agua Clara
Falcón;Democracia;Avaria
Falcón;Democracia;Pedregal
Falcón;Democracia;Piedra Grande
Falcón;Democracia;Purureche
Falcón;Falcón;Adaure
Falcón;Falcón;Adícora
Falcón;Falcón;Baraived
Falcón;Falcón;Buena Vista
Falcón;Falcón;Jadacaquiva
Falcón;Falcón;El Vínculo
Falcón;Falcón;El Hato
Falcón;Falcón;Moruy
Falcón;Falcón;Pueblo Nuevo
Falcón;Federación;Agua Larga
Falcón;Federación;Churuguara
Falcón;Federación;El Paují
Falcón;Federación;Independencia
Falcón;Federación;Mapararí
Falcón;Jacura;Agua Linda
Falcón;Jacura;Araurima
Falcón;Jacura;Jacura
Falcón;Los Taques;Los Taques
Falcón;Los Taques;Judibana
Falcón;Mauroa;Mene de Mauroa
Falcón;Mauroa;San Félix
Falcón;Mauroa;Casigua
Falcón;Miranda;Guzmán Guillermo
Falcón;Miranda;Mitare
Falcón;Miranda;Río Seco
Falcón;Miranda;Sabaneta
Falcón;Miranda;San Antonio
Falcón;Miranda;San Gabriel
Falcón;Miranda;Santa Ana
Falcón;Monseñor Iturriza;Boca del Tocuyo
Falcón;Monseñor Iturriza;Chichiriviche
Falcón;Monseñor Iturriza;Tocuyo de la Costa
Falcón;Palmasola;Palmasola
Falcón;Petit;Cabure
Falcón;Petit;Colina
Falcón;Petit;Curimagua
Falcón;Píritu;San José de la Costa
Falcón;Píritu;Píritu
Falcón;San Francisco;Capital San Francisco Mirimire
Falcón;José Laurencio Silva;Tucacas
Falcón;José Laurencio Silva;Boca de Aroa
Falcón;Sucre;Sucre
Falcón;Sucre;Pecaya
Falcón;Tocópero;Tocópero
Falcón;Unión;El Charal
Falcón;Unión;Las Vegas del Tuy
Falcón;Unión;Santa Cruz de Bucaral
Falcón;Urumaco;Bruzual
Falcón;Urumaco;Urumaco
Falcón;Zamora;Puerto Cumarebo
Falcón;Zamora;La Ciénaga
Falcón;Zamora;La Soledad
Falcón;Zamora;Pueblo Cumarebo
Falcón;Zamora;Zazárida
Guárico;Camaguán;Camaguán
Guárico;Camaguán;Puerto Miranda
Guárico;Camaguán;Uverito
Guárico;Chaguaramas;Chaguaramas
Guárico;El Socorro;El Socorro
Guárico;Francisco de Miranda;El Calvario
Guárico;Francisco de Miranda;El Rastro
Guárico;Francisco de Miranda;Guardatinajas
Guárico;Francisco de Miranda;Capital Urbana Calabozo
Guárico;José Félix Ribas;Tucupido
Guárico;José Félix Ribas;San Rafael de Laya
Guárico;José Tadeo Monagas;Altagracia de Orituco.
Guárico;José Tadeo Monagas;San Rafael de Orituco.
Guárico;José Tadeo Monagas;San Francisco Javier de Lezama.
Guárico;José Tadeo Monagas;Paso Real de Macaira.
Guárico;José Tadeo Monagas;Carlos Soublette.
Guárico;José Tadeo Monagas;San Francisco de Macaira.
Guárico;José Tadeo Monagas;Libertad de Orituco.
Guárico;Juan Germán Roscio;Cantagallo
Guárico;Juan Germán Roscio;San Juan de Los Morros
Guárico;Juan Germán Roscio;Parapara
Guárico;Julián Mellado;El Sombrero
Guárico;Julián Mellado;Sosa
Guárico;Las Mercedes;Las Mercedes
Guárico;Las Mercedes;Cabruta
Guárico;Las Mercedes;Santa Rita de Manapire
Guárico;Leonardo Infante;Valle de la Pascua
Guárico;Leonardo Infante;Espino
Guárico;Ortiz;San José de Tiznados
Guárico;Ortiz;San Francisco de Tiznados
Guárico;Ortiz;San Lorenzo de Tiznados
Guárico;Ortiz;Ortiz
Guárico;Pedro Zaraza;San José de Unare
Guárico;Pedro Zaraza;Zaraza
Guárico;San Jerónimo de Guayabal;Guayabal
Guárico;San Jerónimo de Guayabal;Cazorla
Guárico;San José de Guaribe;San José de Guaribe
Guárico;Santa María de Ipire;Santa María de Ipire
Guárico;Santa María de Ipire;Altamira
Lara;Andrés Eloy Blanco;Quebrada Honda de Guache
Lara;Andrés Eloy Blanco;Pio Tamayo
Lara;Andrés Eloy Blanco;Yacambú
Lara;Crespo;Freitez
Lara;Crespo;José María Blanco
Lara;Iribarren;Aguedo Felipe Alvarado
Lara;Iribarren;Buena Vista
Lara;Iribarren;Catedral
Lara;Iribarren;Concepción
Lara;Iribarren;El Cují
Lara;Iribarren;Juárez
Lara;Iribarren;Ana Soto (Antigua Juan de Villegas)
Lara;Iribarren;Santa Rosa
Lara;Iribarren;Tamaca
Lara;Iribarren;Unión
Lara;Jiménez;Juan Bautista Rodríguez
Lara;Jiménez;Cuara
Lara;Jiménez;Diego de Lozada
Lara;Jiménez;Paraíso de San José
Lara;Jiménez;San Miguel
Lara;Jiménez;Tintorero
Lara;Jiménez;José Bernardo Dorante
Lara;Jiménez;Coronel Mariano Peraza
Lara;Morán;Anzoátegui
Lara;Morán;Bolívar
Lara;Morán;Guárico
Lara;Morán;Hilario Luna y Luna
Lara;Morán;Humocaro Bajo
Lara;Morán;Humocaro Alto
Lara;Morán;La Candelaria
Lara;Morán;Morán
Lara;Palavecino;Cabudare
Lara;Palavecino;José Gregorio Bastidas
Lara;Palavecino;Agua Viva
Lara;Simón Planas;Buría
Lara;Simón Planas;Gustavo Vega
Lara;Simón Planas;Sarare
Lara;Torres;Altagracia
Lara;Torres;Antonio Díaz
Lara;Torres;Camacaro
Lara;Torres;Castañeda
Lara;Torres;Cecilio Zubillaga
Lara;Torres;Chiquinquira
Lara;Torres;El Blanco
Lara;Torres;Espinoza de los Monteros
Lara;Torres;Heriberto Arrollo
Lara;Torres;Lara
Lara;Torres;Las Mercedes
Lara;Torres;Manuel Morillo
Lara;Torres;Montaña Verde
Lara;Torres;Montes de Oca
Lara;Torres;Reyes de Vargas
Lara;Torres;Torres
Lara;Torres;Trinidad Samuel
Lara;Urdaneta;Xaguas
Lara;Urdaneta;Siquisique
Lara;Urdaneta;San Miguel
Lara;Urdaneta;Moroturo
Mérida;Alberto Adriani;Presidente Betancourt
Mérida;Alberto Adriani;Presidente Páez
Mérida;Alberto Adriani;Presidente Rómulo Gallegos
Mérida;Alberto Adriani;Gabriel Picón González
Mérida;Alberto Adriani;Héctor Amable Mora
Mérida;Alberto Adriani;José Nucete Sardi
Mérida;Alberto Adriani;Pulido Méndez
Mérida;Andrés Bello;La Azulita
Mérida;Antonio Pinto Salinas;Santa Cruz de Mora
Mérida;Antonio Pinto Salinas;Mesa Bolívar
Mérida;Antonio Pinto Salinas;Mesa de Las Palmas
Mérida;Aricagua;Aricagua
Mérida;Aricagua;San Antonio
Mérida;Arzobispo Chacón;Canagua
Mérida;Arzobispo Chacón;Capurí
Mérida;Arzobispo Chacón;Chacantá
Mérida;Arzobispo Chacón;El Molino
Mérida;Arzobispo Chacón;Guaimaral
Mérida;Arzobispo Chacón;Mucutuy
Mérida;Arzobispo Chacón;Mucuchachí
Mérida;Campo Elías;Fernández Peña
Mérida;Campo Elías;Matriz
Mérida;Campo Elías;Montalbán
Mérida;Campo Elías;Acequias
Mérida;Campo Elías;Jají
Mérida;Campo Elías;La Mesa
Mérida;Campo Elías;San José del Sur
Mérida;Caracciolo Parra Olmedo;Tucaní
Mérida;Caracciolo Parra Olmedo;Florencio Ramírez
Mérida;Cardenal Quintero;Santo Domingo
Mérida;Cardenal Quintero;Las Piedras
Mérida;Guaraque;Guaraque
Mérida;Guaraque;Mesa de Quintero
Mérida;Guaraque;Río Negro
Mérida;Julio César Salas;Arapuey
Mérida;Julio César Salas;Palmira
Mérida;Justo Briceño;San Cristóbal de Torondoy
Mérida;Justo Briceño;Torondoy
Mérida;Libertador;Antonio Spinetti Dini
Mérida;Libertador;Arias
Mérida;Libertador;Caracciolo Parra Pérez
Mérida;Libertador;Domingo Peña
Mérida;Libertador;El Llano
Mérida;Libertador;Gonzalo Picón Febres
Mérida;Libertador;Jacinto Plaza
Mérida;Libertador;Juan Rodríguez Suárez
Mérida;Libertador;Lasso de la Vega
Mérida;Libertador;Mariano Picón Salas
Mérida;Libertador;Milla
Mérida;Libertador;Osuna Rodríguez
Mérida;Libertador;Sagrario
Mérida;Libertador;El Morro
Mérida;Libertador;Los Nevados
Mérida;Miranda;Andrés Eloy Blanco
Mérida;Miranda;La Venta
Mérida;Miranda;Piñango
Mérida;Miranda;Timotes
Mérida;Obispo Ramos de Lora;Eloy Paredes
Mérida;Obispo Ramos de Lora;San Rafael de Alcázar
Mérida;Obispo Ramos de Lora;Santa Elena de Arenales
Mérida;Padre Noguera;Santa María de Caparo
Mérida;Pueblo Llano;Pueblo Llano
Mérida;Rangel;Cacute
Mérida;Rangel;La Toma
Mérida;Rangel;Mucuchíes
Mérida;Rangel;Mucurubá
Mérida;Rangel;San Rafael
Mérida;Rivas Dávila;Gerónimo Maldonado
Mérida;Rivas Dávila;Bailadores
Mérida;Santos Marquina;Tabay
Mérida;Sucre;Chiguará
Mérida;Sucre;Estánques
Mérida;Sucre;Lagunillas
Mérida;Sucre;La Trampa
Mérida;Sucre;Pueblo Nuevo del Sur
Mérida;Sucre;San Juan
Mérida;Tovar;El Amparo
Mérida;Tovar;El Llano
Mérida;Tovar;San Francisco
Mérida;Tovar;Tovar
Mérida;Tulio Febres Cordero;Independencia
Mérida;Tulio Febres Cordero;María de la Concepción Palacios Blanco
Mérida;Tulio Febres Cordero;Nueva Bolivia
Mérida;Tulio Febres Cordero;Santa Apolonia
Mérida;Zea;Caño El Tigre
Mérida;Zea;Zea
Miranda;Acevedo;Aragüita
Miranda;Acevedo;Arévalo González,
Miranda;Acevedo;Capaya
Miranda;Acevedo;Caucagua
Miranda;Acevedo;Panaquire
Miranda;Acevedo;Ribas
Miranda;Acevedo;El Café
Miranda;Acevedo;Marizapa
Miranda;Andrés Bello;Cumbo
Miranda;Andrés Bello;San José de Barlovento
Miranda;Baruta;El Cafetal
Miranda;Baruta;Las Minas
Miranda;Brión;Higuerote
Miranda;Brión;Curiepe
Miranda;Brión;Tacarigua de Brión
Miranda;Buroz;Mamporal
Miranda;Carrizal;Carrizal
Miranda;Chacao;Chacao
Miranda;Cristóbal Rojas;Charallave
Miranda;Cristóbal Rojas;Las Brisas
Miranda;El Hatillo;Santa Rosalía de Palermo de El Hatillo
Miranda;Guaicaipuro;Altagracia de la Montaña
Miranda;Guaicaipuro;Cecilio Acosta
Miranda;Guaicaipuro;Los Teques
Miranda;Guaicaipuro;El Jarillo.
Miranda;Guaicaipuro;San Pedro.
Miranda;Guaicaipuro;Tácata.
Miranda;Guaicaipuro;Paracotos.
Miranda;Independencia;Cartanal
Miranda;Independencia;Santa Teresa del Tuy
Miranda;Lander;La Democracia
Miranda;Lander;Ocumare del Tuy
Miranda;Lander;Santa Bárbara
Miranda;Los Salias;San Antonio de los Altos
Miranda;Páez;Río Chico
Miranda;Páez;El Guapo
Miranda;Páez;Tacarigua de la Laguna
Miranda;Páez;Paparo
Miranda;Páez;San Fernando del Guapo
Miranda;Paz Castillo;Santa Lucía del Tuy
Miranda;Pedro Gual;Cúpira
Miranda;Pedro Gual;Machurucuto
Miranda;Plaza;Guarenas
Miranda;Simón Bolívar;San Antonio de Yare
Miranda;Simón Bolívar;San Francisco de Yare
Miranda;Sucre;Leoncio Martínez
Miranda;Sucre;Caucagüita
Miranda;Sucre;Filas de Mariche
Miranda;Sucre;La Dolorita
Miranda;Sucre;Petare
Miranda;Urdaneta;Cúa
Miranda;Urdaneta;Nueva Cúa
Miranda;Zamora;Guatire
Miranda;Zamora;Bolívar
Monagas;Acosta;San Antonio de Maturín
Monagas;Acosta;San Francisco de Maturín
Monagas;Aguasay;Aguasay
Monagas;Bolívar;Caripito
Monagas;Caripe;El Guácharo
Monagas;Caripe;La Guanota
Monagas;Caripe;Sabana de Piedra
Monagas;Caripe;San Agustín
Monagas;Caripe;Teresen
Monagas;Caripe;Caripe
Monagas;Cedeño;Areo
Monagas;Cedeño;Capital Cedeño
Monagas;Cedeño;San Félix de Cantalicio
Monagas;Cedeño;Viento Fresco
Monagas;Ezequiel Zamora;El Tejero
Monagas;Ezequiel Zamora;Punta de Mata
Monagas;Libertador;Chaguaramas
Monagas;Libertador;Las Alhuacas
Monagas;Libertador;Tabasca
Monagas;Libertador;Temblador
Monagas;Maturín;Alto de los Godos
Monagas;Maturín;Boquerón
Monagas;Maturín;Las Cocuizas
Monagas;Maturín;La Cruz
Monagas;Maturín;San Simón
Monagas;Maturín;El Corozo
Monagas;Maturín;El Furrial
Monagas;Maturín;Jusepín
Monagas;Maturín;La Pica
Monagas;Maturín;San Vicente
Monagas;Piar;Aparicio
Monagas;Piar;Aragua de Maturín
Monagas;Piar;Chaguaramal
Monagas;Piar;El Pinto
Monagas;Piar;Guanaguana
Monagas;Piar;La Toscana
Monagas;Piar;Taguaya
Monagas;Punceres;Cachipo
